name,fg_id,fans_g,fans_pa,fans_ab,fans_b1,fans_b2,fans_b3,fans_hr,fans_r,fans_rbi,fans_sb,fans_cs,zips_g,zips_pa,zips_ab,zips_b1,zips_b2,zips_b3,zips_hr,zips_r,zips_rbi,zips_sb,zips_cs,stmr_g,stmr_pa,stmr_ab,stmr_b1,stmr_b2,stmr_b3,stmr_hr,stmr_r,stmr_rbi,stmr_sb,stmr_cs,cair_g,cair_pa,cair_ab,cair_b1,cair_b2,cair_b3,cair_hr,cair_r,cair_rbi,cair_sb,cair_cs,f411_g,f411_pa,f411_ab,f411_b1,f411_b2,f411_b3,f411_hr,f411_r,f411_rbi,f411_sb,f411_cs,real_g,real_pa,real_ab,real_b1,real_b2,real_b3,real_hr,real_r,real_rbi,real_sb,real_cs
Alfredo Amezaga,1,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.17,0.04,0,0.01,0.09,0.09,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Kennedy,19,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.17,0.05,0,0.01,0.09,0.09,0.01,0.01,0.302342852,384.1665155,0.89226645,0.162622117,0.04881085,0.003560824,0.01530372,0.100781667,0.096919553,0.018364922,0.006201073,,,,,,,,,,,,,,,,,,,,,,
Jose Molina,25,0.273480663,362,0.919889503,0.168508287,0.03038674,0,0.016574586,0.096685083,0.082872928,0.005524862,0,,,,,,,,,,,,,236,0.902542373,0.13559322,0.042372881,0.004237288,0.021186441,0.101694915,0.093220339,0.012711864,0.008474576,0.311127764,262.1109704,0.905502837,0.150621029,0.036368003,0.001322839,0.020908465,0.097178001,0.100810956,0.011061098,0.00386278,0.307947121,280.9465023,0.906125691,0.151357627,0.037505145,0.001204947,0.023200267,0.096129127,0.08480604,0.009111783,0.004908992,0.31629393,313,0.904153355,0.159744409,0.044728435,0,0.006389776,0.083067093,0.057507987,0.006389776,0.003194888
Rod Barajas,45,,,,,,,,,,,,0.289634146,328,0.899390244,0.131097561,0.039634146,0,0.042682927,0.097560976,0.131097561,0,0,,100,0.9,0.13,0.04,0,0.03,0.09,0.11,0,0,0.276360264,314.9195497,0.908104333,0.135501864,0.0402458,0.000610516,0.035979476,0.093008606,0.121257885,0.003099093,0.00102327,0.262863732,329.7415082,0.904193819,0.128967543,0.037814968,5.83073E-05,0.037968699,0.094110832,0.114710396,0.001002794,0.000501244,,,,,,,,,,,
Kyle Blanks,49,,,,,,,,,,,,0.257692308,260,0.884615385,0.111538462,0.046153846,0.007692308,0.030769231,0.126923077,0.080769231,0.003846154,0,,170,0.882352941,0.129411765,0.047058824,0.005882353,0.035294118,0.105882353,0.123529412,0.011764706,0.005882353,0.249164447,290.5424831,0.89059511,0.123143067,0.047856311,0.007173688,0.030102583,0.124908114,0.128480811,0.007341841,0.002856469,0.311657182,157.8543072,0.882289391,0.117733794,0.04347703,0.007431109,0.03186964,0.120357116,0.112230759,0.008578414,0.00176581,0.285714286,308,0.909090909,0.149350649,0.045454545,0,0.025974026,0.100649351,0.113636364,0.003246753,0.003246753
Alex Cintron,50,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.17,0.05,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Counsell,52,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.17,0.04,0,0.01,0.09,0.08,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Blanco,81,,,,,,,,,,,,0.324675325,77,0.922077922,0.142857143,0.038961039,0,0.038961039,0.090909091,0.142857143,0.012987013,0,,100,0.9,0.15,0.04,0,0.02,0.1,0.1,0.03,0.01,0.286731968,168.45,0.903817083,0.137173123,0.043915873,0.003728877,0.032555973,0.100292907,0.093322391,0.010087475,0.003932781,0.329079468,120.4876144,0.906086592,0.136161288,0.038412518,0.001930405,0.032663164,0.095335878,0.105725137,0.010062482,0.00197113,0.333333333,150,0.893333333,0.073333333,0.033333333,0,0.02,0.073333333,0.093333333,0,0
Rafael Furcal,88,0.224696356,494,0.914979757,0.192307692,0.032388664,0.006072874,0.012145749,0.099190283,0.091093117,0.020242915,0.004048583,0.230107527,465,0.903225806,0.174193548,0.038709677,0.008602151,0.015053763,0.131182796,0.094623656,0.023655914,0.008602151,,386,0.896373057,0.168393782,0.046632124,0.005181347,0.015544041,0.119170984,0.085492228,0.018134715,0.007772021,0.230454214,404.7712914,0.898083965,0.169358338,0.041872712,0.00810742,0.015170124,0.130237873,0.094746049,0.024991523,0.008613037,0.216499614,470.0258565,0.89953901,0.17613466,0.040694894,0.006661962,0.014560993,0.128485815,0.074319946,0.024874345,0.00940523,,,,,,,,,,,
Wes Helms,94,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.15,0.04,0,0.01,0.08,0.08,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andruw Jones,96,,,,,,,,,,,,0.330708661,254,0.87007874,0.114173228,0.035433071,0,0.051181102,0.11023622,0.145669291,0.007874016,0,,100,0.86,0.11,0.04,0,0.04,0.11,0.12,0,0,,,,,,,,,,,,0.325836588,288.5648922,0.86973212,0.110032683,0.035173093,0.001115871,0.049367741,0.117191431,0.136977739,0.008295275,0.002018594,,,,,,,,,,,
Chipper Jones,97,,,,,,,,,,,,0.247641509,424,0.879716981,0.150943396,0.054245283,0,0.030660377,0.113207547,0.134433962,0.002358491,0.002358491,,100,0.87,0.16,0.05,0,0.03,0.12,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Langerhans,98,,,,,,,,,,,,,,,,,,,,,,,,100,0.86,0.11,0.04,0.01,0.03,0.12,0.1,0.02,0.01,0.253797401,440.3118374,0.850067625,0.125874543,0.045853932,0.006055808,0.033898851,0.127890043,0.111581093,0.018074795,0.017195096,0.320466847,200.8788136,0.850840082,0.119065426,0.037826665,0.004740914,0.030527336,0.117563063,0.10258503,0.01703838,0.013918274,0.307692308,13,0.846153846,0.230769231,0,0,0,0.230769231,0,0.076923077,0
Darren Ford,109,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.16,0.05,0.01,0.01,0.1,0.1,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Lerud,113,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.13,0.04,0,0.01,0.08,0.08,0,0,0.280981489,269.8449237,0.901727453,0.12078586,0.038163532,0.002068586,0.01594446,0.081740004,0.079623239,0.004080733,0.004532537,0.373265303,105.5836531,0.890907944,0.133720418,0.03844958,0.002951588,0.019515391,0.092925607,0.078763069,0.009662793,0.004211034,1.2,5,1,0,0,0,0,0,0,0,0
Jay Gibbons,141,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.14,0.05,0,0.03,0.1,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Hairston,144,,,,,,,,,,,,0.30449827,289,0.896193772,0.166089965,0.048442907,0.003460208,0.01384083,0.089965398,0.093425606,0.006920415,0.006920415,,226,0.89380531,0.159292035,0.048672566,0.004424779,0.017699115,0.092920354,0.101769912,0.004424779,0.004424779,0.27895976,333.9788748,0.896288598,0.163894175,0.043484951,0.002938104,0.017598286,0.104406324,0.099929928,0.009979081,0.008140428,0.298180186,325.4929738,0.895327688,0.171514486,0.044043639,0.002690369,0.015968841,0.100730133,0.076658606,0.009534093,0.007413961,0.424778761,226,0.902654867,0.150442478,0.030973451,0,0.008849558,0.075221239,0.097345133,0,0
Melvin Mora,157,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.16,0.04,0.01,0.02,0.09,0.09,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Roberts,166,0.240601504,266,0.913533835,0.172932331,0.041353383,0,0.011278195,0.082706767,0.086466165,0.022556391,0.003759398,,,,,,,,,,,,,141,0.893617021,0.14893617,0.056737589,0.007092199,0.014184397,0.120567376,0.092198582,0.021276596,0.007092199,0.229681876,278.2108936,0.892710556,0.149289966,0.055161575,0.002521776,0.019172769,0.1169425,0.091141313,0.028817893,0.007593078,0.202995678,318.3975841,0.890201941,0.153609615,0.053373713,0.002373547,0.016216855,0.111255454,0.084103733,0.028523285,0.008205142,0.260135135,296,0.89527027,0.152027027,0.040540541,0.003378378,0.027027027,0.111486486,0.131756757,0.010135135,0.003378378
Scott Cousins,173,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.14,0.05,0.01,0.02,0.11,0.1,0.02,0.01,0.296758852,352.7395076,0.914900812,0.143301344,0.043010165,0.007595844,0.020218017,0.121983536,0.103173279,0.027967079,0.011663293,0.43314623,175.0893359,0.915791108,0.134989313,0.042386494,0.008623708,0.018740715,0.104599563,0.08504871,0.02256949,0.011361417,1.4,5,0.8,0,0,0,0,0.2,0,0,0
Johnny Damon,185,,,,,,,,,,,,0.25,352,0.911931818,0.15625,0.042613636,0.011363636,0.022727273,0.125,0.107954545,0.025568182,0.005681818,,100,0.89,0.15,0.05,0.01,0.02,0.11,0.1,0.02,0.01,0.24105231,490.35,0.89568265,0.155585036,0.04847523,0.008099673,0.023024606,0.126352805,0.105457236,0.021819588,0.0043081,0.295511013,379.3428846,0.885846582,0.142143563,0.051912025,0.010525883,0.020714829,0.120712478,0.098789099,0.021457756,0.005346401,,,,,,,,,,,
Carlos Triunfel,193,,,,,,,,,,,,,,,,,,,,,,,,147,0.931972789,0.170068027,0.047619048,0,0.013605442,0.095238095,0.088435374,0.013605442,0.006802721,0.255744979,490.723222,0.946451882,0.162222758,0.037934181,0.002172496,0.012393282,0.097128966,0.082408617,0.008279205,0.01250771,0.303400349,223.3023139,0.93416411,0.158040398,0.047095145,0.003241022,0.012360861,0.097772968,0.071636898,0.007312283,0.007125397,0.361702128,47,0.936170213,0.106382979,0.021276596,0,0,0.021276596,0.042553191,0,0
Danny Worth,198,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.14,0.04,0.01,0.02,0.11,0.1,0.03,0.01,0.278729534,371.1034796,0.899662503,0.146903706,0.044375262,0.005878493,0.014925586,0.104599769,0.082526526,0.026615332,0.011332509,0.367114375,192.6341077,0.893914997,0.152410687,0.04187644,0.004584212,0.014490044,0.102946714,0.072801946,0.020673569,0.009051604,1.5,2,1,0,0,0,0,0,0,0,0
Antoan Richardson,209,,,,,,,,,,,,,,,,,,,,,,,,100,0.86,0.17,0.03,0.01,0.01,0.1,0.08,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manny Ramirez,210,,,,,,,,,,,,,,,,,,,,,,,,100,0.87,0.15,0.05,0,0.03,0.12,0.11,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Venable,211,0.230636833,581,0.901893287,0.166953528,0.030981067,0.013769363,0.020654045,0.098106713,0.113597246,0.039586919,0.006884682,0.296296296,486,0.895061728,0.139917695,0.041152263,0.014403292,0.024691358,0.135802469,0.109053498,0.04526749,0.010288066,,507,0.889546351,0.142011834,0.041420118,0.009861933,0.023668639,0.114398422,0.096646943,0.037475345,0.015779093,0.28687755,399.7785813,0.893047883,0.139400015,0.041020003,0.013787344,0.025074655,0.120804573,0.113547491,0.042798314,0.009306865,0.288935606,446.105744,0.89312474,0.142400554,0.04259053,0.014996914,0.023923545,0.125462424,0.101590558,0.049116124,0.011312885,0.293203883,515,0.933980583,0.149514563,0.042718447,0.015533981,0.042718447,0.124271845,0.102912621,0.042718447,0.011650485
Jason Varitek,217,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.12,0.04,0,0.03,0.11,0.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Harris,236,,,,,,,,,,,,,,,,,,,,,,,,100,0.88,0.13,0.04,0,0.02,0.1,0.08,0.01,0.01,0.35746229,340.5953673,0.877532325,0.123675877,0.043498874,0.003363877,0.016775443,0.101976509,0.086660254,0.015803536,0.01127721,,,,,,,,,,,,,,,,,,,,,,
Paul Konerko,242,0.229617304,601,0.880199667,0.178036606,0.038269551,0,0.039933444,0.133111481,0.151414309,0,0,0.237924866,559,0.881932021,0.166368515,0.037567084,0,0.046511628,0.107334526,0.143112701,0,0,,538,0.87732342,0.156133829,0.042750929,0.001858736,0.042750929,0.130111524,0.141263941,0.001858736,0,0.237245923,622.35,0.875629449,0.170290487,0.041301529,0.000936753,0.042751234,0.124977967,0.137094313,0.002007492,0.001385839,0.24208703,586.0839939,0.877452001,0.167255768,0.039225323,0.000603438,0.046069545,0.120269457,0.13444389,0.00084448,0.000428925,0.242307692,520,0.898076923,0.165384615,0.030769231,0,0.023076923,0.078846154,0.103846154,0,0
Carlos Lee,243,,,,,,,,,,,,0.238675958,574,0.904181185,0.170731707,0.048780488,0.003484321,0.019163763,0.094076655,0.135888502,0.005226481,0.00174216,,436,0.896788991,0.160550459,0.048165138,0.002293578,0.025229358,0.100917431,0.112385321,0.004587156,0.002293578,0.23904267,642.7722727,0.906134079,0.166062605,0.047896633,0.002981046,0.023500412,0.096730632,0.135476563,0.005573819,0.003208721,0.240885743,568.2500414,0.906505204,0.170390092,0.047907306,0.003061182,0.022897865,0.102297645,0.094737418,0.005002238,0.0028734,,,,,,,,,,,
Magglio Ordonez,248,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.19,0.04,0,0.02,0.12,0.11,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rowand,254,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.14,0.05,0.01,0.02,0.1,0.1,0.01,0,0.277668161,428.8461538,0.923042108,0.143773357,0.051320234,0.005823094,0.026127546,0.101952593,0.098983584,0.010441735,0.006681532,,,,,,,,,,,,,,,,,,,,,,
Augie Ojeda,297,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.15,0.05,0.01,0.01,0.09,0.08,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Patterson,300,,,,,,,,,,,,,,,,,,,,,,,,100,0.93,0.15,0.05,0.01,0.02,0.1,0.1,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Castro,315,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.16,0.05,0,0.01,0.09,0.08,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Dunn,319,0.233384853,647,0.826893354,0.089644513,0.032457496,0.001545595,0.058732612,0.132921175,0.159196291,0,0,0.238698011,553,0.83363472,0.084990958,0.034358047,0,0.05244123,0.117540687,0.142857143,0.001808318,0.001808318,,613,0.828711256,0.088091354,0.03588907,0.001631321,0.050570962,0.127243067,0.132137031,0.001631321,0.001631321,0.238103012,612.55,0.844091074,0.089570279,0.038149531,0.001010892,0.051993251,0.122021701,0.130148942,0.002648169,0.002142645,0.23058059,602.6092659,0.836431386,0.088382805,0.035856751,0.000593571,0.052529638,0.124798013,0.143210335,0.001829068,0.001698627,0.245469522,607,0.86490939,0.108731466,0.024711697,0,0.05601318,0.098846787,0.141680395,0.001647446,0.001647446
Austin Kearns,332,,,,,,,,,,,,0.357758621,232,0.857758621,0.142241379,0.034482759,0.004310345,0.017241379,0.107758621,0.073275862,0.00862069,0.00862069,,175,0.857142857,0.131428571,0.04,0.005714286,0.017142857,0.097142857,0.091428571,0.005714286,0.005714286,0.325044246,285.3457677,0.867129206,0.146454059,0.036845422,0.003787418,0.019281494,0.113104257,0.093446392,0.008857754,0.007227992,0.343285798,255.9820431,0.864215669,0.147214593,0.03767769,0.003951574,0.019254639,0.112883934,0.078759411,0.00866552,0.00728984,0.612903226,31,0.870967742,0.161290323,0,0,0,0.096774194,0,0,0
Corky Miller,342,,,,,,,,,,,,,,,,,,,,,,,,100,0.87,0.13,0.04,0,0.02,0.1,0.09,0.01,0,0.281792939,267.4202667,0.862602694,0.140468113,0.039696073,0.000862653,0.022450867,0.101780593,0.101999867,0.004917432,0.003258742,0.378265037,199.2178378,0.864391247,0.134088415,0.039771072,0.001235523,0.023094134,0.100611667,0.08600663,0.005335889,0.002882728,0.414634146,41,0.853658537,0.097560976,0.12195122,0,0,0.048780488,0.195121951,0,0
Wily Mo Pena,344,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.14,0.04,0,0.04,0.11,0.12,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Sardinha,353,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.12,0.04,0,0.02,0.09,0.09,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Bradley,369,,,,,,,,,,,,,,,,,,,,,,,,100,0.87,0.13,0.04,0,0.03,0.11,0.1,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Branyan,370,,,,,,,,,,,,0.318518519,135,0.859259259,0.111111111,0.037037037,0,0.044444444,0.125925926,0.148148148,0.007407407,0,,100,0.87,0.12,0.04,0,0.04,0.13,0.13,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolbert Cabrera,373,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.16,0.05,0,0.02,0.1,0.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Martinez,393,0.237435009,577,0.913344887,0.190641248,0.057192374,0,0.025996534,0.133448873,0.135181976,0.001733102,0,0.239910314,446,0.910313901,0.18161435,0.051569507,0,0.02690583,0.107623318,0.143497758,0.002242152,0,,495,0.894949495,0.177777778,0.054545455,0.002020202,0.028282828,0.127272727,0.133333333,0.004040404,0.002020202,0.237486788,462.4405859,0.901957569,0.179005281,0.054901793,0.001820451,0.027428359,0.12772315,0.14891249,0.003804182,0.001049361,0.229931785,488.8918014,0.909107355,0.184421623,0.055556469,0.001289102,0.026268931,0.1193321,0.107054915,0.002172534,0.000533162,0.238023952,668,0.905688623,0.19760479,0.053892216,0,0.020958084,0.101796407,0.124251497,0,0.002994012
John McDonald,395,,,,,,,,,,,,,,,,,,,,,,,,123,0.918699187,0.146341463,0.048780488,0.008130081,0.024390244,0.089430894,0.105691057,0.008130081,0,0.322261996,209.4569038,0.922770902,0.16076584,0.041909877,0.005741045,0.020039198,0.105488079,0.101536876,0.006988261,0.008603508,0.361282337,194.4462624,0.927010733,0.158820466,0.043057084,0.004822992,0.020741148,0.096110648,0.087339183,0.006150651,0.008358392,0.662337662,77,0.896103896,0.077922078,0.012987013,0,0.012987013,0.103896104,0.051948052,0,0
Jim Thome,409,,,,,,,,,,,,0.298642534,221,0.868778281,0.117647059,0.040723982,0,0.045248869,0.099547511,0.14479638,0,0,,120,0.85,0.125,0.041666667,0,0.033333333,0.108333333,0.116666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Vizquel,411,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.18,0.04,0.01,0,0.1,0.08,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Helton,432,0.241217799,427,0.850117096,0.152224824,0.053864169,0.00234192,0.023419204,0.131147541,0.135831382,0,0,0.248484848,330,0.860606061,0.145454545,0.051515152,0.003030303,0.027272727,0.096969697,0.13030303,0.003030303,0.003030303,,294,0.857142857,0.153061224,0.054421769,0.003401361,0.020408163,0.115646259,0.112244898,0.003401361,0.003401361,0.24411303,445.9,0.856017016,0.159331281,0.051819361,0.002898136,0.025183407,0.134661348,0.101309675,0.003362268,0.002494903,0.248977723,362.6161094,0.856246818,0.153745662,0.05086685,0.002479598,0.023200646,0.116554528,0.096885084,0.001764741,0.00175039,0.280542986,442,0.898190045,0.13800905,0.049773756,0.002262443,0.033936652,0.092760181,0.13800905,0,0
Juan Pierre,443,0.220757825,607,0.919275124,0.233937397,0.02306425,0.006589786,0.001647446,0.115321252,0.080724876,0.05601318,0.013179572,,,,,,,,,,,,,557,0.908438061,0.202872531,0.030520646,0.008976661,0.005385996,0.111310592,0.064631957,0.044883303,0.017953321,0.250128052,585.7,0.895164739,0.209756646,0.027081756,0.010856917,0.004323041,0.128813322,0.067877409,0.061032947,0.020338872,0.258653261,559.9517001,0.903762701,0.220473451,0.025589863,0.009476789,0.002452355,0.123572437,0.039842154,0.062620936,0.020381218,0.342424242,330,0.933333333,0.187878788,0.033333333,0.006060606,0.003030303,0.109090909,0.024242424,0.06969697,0.018181818
Melky Mesa,447,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.13,0.05,0,0.03,0.11,0.11,0.04,0.02,0.25248434,504.6723888,0.919995393,0.12052761,0.043541771,0.004533279,0.034053739,0.117646996,0.102629703,0.032736657,0.020657285,0.29449161,221.4356375,0.914747538,0.122465096,0.041917585,0.00470167,0.034957582,0.116366087,0.11535744,0.029367635,0.013822244,0.357142857,14,0.928571429,0.214285714,0.142857143,0,0,0.142857143,0.071428571,0,0.071428571
Juan Uribe,454,,,,,,,,,,,,,,,,,,,,,,,,157,0.898089172,0.127388535,0.050955414,0,0.025477707,0.089171975,0.101910828,0.006369427,0,0.276004973,301.625,0.908407204,0.132854615,0.04382918,0.002254411,0.03082896,0.093646526,0.126513994,0.005208714,0.003487987,0.323554192,256.7833625,0.914049936,0.133630271,0.044101151,0.002154859,0.0263944,0.095517669,0.097273069,0.004357793,0.003613969,0.309859155,426,0.910798122,0.169014085,0.051643192,0.004694836,0.028169014,0.110328638,0.117370892,0.011737089,0
Brandon Inge,470,,,,,,,,,,,,,,,,,,,,,,,,163,0.889570552,0.122699387,0.042944785,0,0.030674847,0.09202454,0.104294479,0,0,0.258858488,385.8724687,0.891912679,0.129110398,0.043221553,0.003066319,0.026514499,0.102601936,0.126849305,0.004496263,0.004147384,0.315190365,317.0883148,0.887932361,0.123143799,0.043427637,0.004635467,0.025484055,0.094055525,0.096554405,0.003837647,0.004325231,0.454545455,110,0.954545455,0.136363636,0.027272727,0,0.009090909,0.045454545,0.063636364,0,0
Mike Rivera,493,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.13,0.04,0,0.02,0.09,0.09,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Salazar,495,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.16,0.04,0,0.02,0.1,0.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Castro,514,,,,,,,,,,,,0.296875,64,0.90625,0.125,0.03125,0,0.046875,0.078125,0.125,0,0,,100,0.89,0.13,0.04,0,0.04,0.12,0.12,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Gonzalez,520,,,,,,,,,,,,,,,,,,,,,,,,100,0.93,0.14,0.05,0,0.02,0.09,0.1,0,0,0.231617128,332.44519,0.898512474,0.144560338,0.046132742,0.005899368,0.030832428,0.11581701,0.109639528,0.016498919,0.006203685,0.257157653,320.8148735,0.932712129,0.149396046,0.047546633,0.002778217,0.029722638,0.103106472,0.108062022,0.005570879,0.003297223,0.347457627,118,0.957627119,0.13559322,0.025423729,0,0.008474576,0.118644068,0.06779661,0,0
Derrek Lee,525,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.15,0.05,0,0.03,0.11,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Berkman,548,0.233027523,545,0.849541284,0.146788991,0.04587156,0.003669725,0.036697248,0.139449541,0.165137615,0.003669725,0.001834862,0.254752852,263,0.855513308,0.133079848,0.045627376,0,0.045627376,0.11026616,0.148288973,0.007604563,0.003802281,,452,0.831858407,0.134955752,0.048672566,0.004424779,0.039823009,0.137168142,0.134955752,0.006637168,0.004424779,0.253369662,407.9020323,0.843733638,0.145327726,0.051033145,0.004551617,0.040950419,0.125668436,0.133739598,0.007455293,0.006649825,0.237097326,408.2008638,0.840234671,0.140564331,0.048234992,0.004090086,0.041130012,0.135189548,0.133558768,0.007306052,0.005638302,0.24829932,294,0.870748299,0.153061224,0.034013605,0.003401361,0.020408163,0.091836735,0.115646259,0,0
Geoff Blum,550,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.15,0.05,0,0.02,0.1,0.1,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Chavez,553,,,,,,,,,,,,,,,,,,,,,,,,100,0.93,0.16,0.04,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Lugo,565,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.17,0.04,0,0.01,0.09,0.08,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryle Ward,579,,,,,,,,,,,,,,,,,,,,,,,,100,0.88,0.14,0.05,0,0.03,0.11,0.11,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Beltran,589,0.230118443,591,0.884940778,0.157360406,0.045685279,0.005076142,0.03891709,0.128595601,0.145516074,0.011844332,0.003384095,0.241970021,467,0.882226981,0.141327623,0.047109208,0.006423983,0.038543897,0.111349036,0.137044968,0.014989293,0.006423983,,524,0.874045802,0.145038168,0.051526718,0.003816794,0.036259542,0.131679389,0.133587786,0.011450382,0.005725191,0.240742684,527.7418945,0.87854285,0.147060441,0.053060673,0.005498484,0.038226784,0.120187181,0.143878675,0.015191994,0.006276699,0.241649919,543.5549106,0.878120044,0.1451501,0.049959655,0.004865456,0.041039805,0.12852939,0.135542732,0.015365044,0.006768707,0.241666667,600,0.923333333,0.178333333,0.05,0.005,0.04,0.131666667,0.14,0.003333333,0.001666667
Angel Berroa,591,,,,,,,,,,,,,,,,,,,,,,,,100,0.93,0.16,0.05,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Ibanez,607,0.248,375,0.914666667,0.149333333,0.04,0.005333333,0.032,0.101333333,0.112,0.005333333,0,,,,,,,,,,,,,236,0.894067797,0.139830508,0.046610169,0.004237288,0.029661017,0.105932203,0.110169492,0.004237288,0.004237288,0.260402721,542.2370385,0.902711294,0.136271453,0.046591134,0.005039415,0.03108605,0.122012388,0.139357219,0.007191016,0.001867222,0.307143978,439.7503327,0.907570243,0.138661353,0.048882141,0.00480893,0.032690369,0.112463732,0.116806364,0.005093626,0.001999235,0.25,496,0.915322581,0.118951613,0.040322581,0.004032258,0.058467742,0.108870968,0.131048387,0,0
Cole Garner,616,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.15,0.05,0.01,0.03,0.11,0.12,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Barnes,629,,,,,,,,,,,,,,,,,,,,,,,,116,0.913793103,0.146551724,0.051724138,0,0.025862069,0.103448276,0.103448276,0.025862069,0.017241379,0.261314291,547.6437683,0.924291066,0.126088973,0.054278057,0.005478044,0.026891299,0.113320279,0.103892098,0.020187859,0.011642855,0.403000006,230.9021587,0.92125982,0.132138079,0.048789626,0.00406017,0.021570874,0.102188133,0.092459542,0.017446425,0.009731469,0.305617978,445,0.916853933,0.161797753,0.038202247,0.002247191,0.017977528,0.103370787,0.092134831,0.024719101,0.024719101
